iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
1	 Limbic 	 Cingulum_Ant_R 	 35.71 	 2.25 	 135 
	 Limbic 	 Hippocampus_L 	 33.70 	 2.08 	 62 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 28.81 	 2.17 	 51 
	 Limbic 	 Amygdala_R 	 27.78 	 1.93 	 15 
	 Limbic 	 Amygdala_L 	 27.45 	 1.71 	 14 
	 Occipital 	 Fusiform_L 	 27.05 	 2.03 	 168 
	 Frontal 	 Rectus_L 	 25.60 	 2.07 	 53 
	 Limbic 	 Hippocampus_R 	 23.56 	 2.10 	 45 
	 Limbic 	 Cingulum_Ant_L 	 23.00 	 2.06 	 89 
	 Occipital 	 Lingual_R 	 22.36 	 2.05 	 123 
	 Frontal 	 Frontal_Inf_Tri_L 	 21.78 	 2.10 	 110 
	 Occipital 	 Lingual_L 	 21.40 	 2.06 	 119 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 20.91 	 1.98 	 46 
	 Frontal 	 Olfactory_L 	 20.59 	 2.19 	 14 
	 Limbic 	 ParaHippocampal_L 	 19.83 	 2.09 	 47 
	 Central 	 Rolandic_Oper_L 	 19.64 	 2.11 	 44 
	 Occipital 	 Calcarine_R 	 19.59 	 1.94 	 87 
	 Occipital 	 Occipital_Inf_R 	 19.37 	 1.90 	 55 
	 Temporal 	 Temporal_Mid_R 	 19.22 	 2.05 	 227 
	 Temporal 	 Temporal_Mid_L 	 18.97 	 2.02 	 231 
	 Frontal 	 Frontal_Inf_Orb_L 	 18.58 	 2.02 	 81 
	 Frontal 	 Frontal_Sup_Medial_L 	 16.83 	 1.97 	 84 
	 Frontal 	 Frontal_Inf_Oper_L 	 15.28 	 2.16 	 35 
	 Occipital 	 Fusiform_R 	 14.86 	 1.94 	 103 
	 Subcortical 	 Caudate_R 	 14.86 	 2.05 	 26 
	 Temporal 	 Temporal_Sup_L 	 13.54 	 2.01 	 83 
	 Temporal 	 Temporal_Inf_L 	 13.21 	 2.01 	 104 
	 Frontal 	 Frontal_Mid_Orb_R 	 12.75 	 1.91 	 32 
	 Frontal 	 Frontal_Sup_Medial_R 	 12.20 	 1.90 	 50 
	 Occipital 	 Occipital_Inf_L 	 12.13 	 1.72 	 29 
	 Limbic 	 Insula_L 	 12.00 	 2.21 	 57 
	 Temporal 	 Temporal_Pole_Sup_L 	 11.69 	 1.87 	 27 
	 Frontal 	 Rectus_R 	 11.52 	 2.03 	 22 
	 Temporal 	 Heschl_R 	 11.27 	 1.87 	 8 
	 Subcortical 	 Caudate_L 	 11.23 	 2.23 	 21 
	 Limbic 	 Insula_R 	 10.87 	 1.86 	 45 
	 Limbic 	 ParaHippocampal_R 	 10.29 	 2.22 	 28 

2	 Occipital 	 Cuneus_R 	 50.38 	 2.18 	 198 
	 Occipital 	 Cuneus_L 	 48.83 	 2.08 	 188 
	 Occipital 	 Occipital_Mid_R 	 46.55 	 2.19 	 243 
	 Occipital 	 Occipital_Sup_R 	 45.59 	 2.23 	 155 
	 Parietal 	 Angular_L 	 43.38 	 1.94 	 131 
	 Occipital 	 Occipital_Sup_L 	 36.75 	 2.29 	 111 
	 Occipital 	 Calcarine_L 	 36.54 	 2.06 	 205 
	 Parietal 	 Angular_R 	 36.36 	 2.07 	 152 
	 Occipital 	 Occipital_Mid_L 	 36.08 	 2.09 	 306 
	 Temporal 	 Temporal_Mid_R 	 35.39 	 2.09 	 418 
	 Temporal 	 Temporal_Sup_R 	 35.07 	 2.17 	 282 
	 Occipital 	 Calcarine_R 	 34.91 	 1.98 	 155 
	 Frontal 	 Frontal_Inf_Oper_L 	 31.00 	 2.11 	 71 
	 Parietal 	 Parietal_Sup_L 	 30.79 	 2.10 	 133 
	 Frontal 	 Frontal_Inf_Oper_R 	 30.25 	 2.03 	 98 
	 Limbic 	 Cingulum_Post_L 	 29.35 	 1.96 	 27 
	 Temporal 	 Temporal_Mid_L 	 27.50 	 1.95 	 335 
	 Parietal 	 Parietal_Inf_L 	 27.16 	 1.95 	 160 
	 Frontal 	 Precentral_L 	 25.00 	 2.07 	 171 
	 Limbic 	 Cingulum_Post_R 	 25.00 	 2.09 	 10 
	 Temporal 	 Temporal_Sup_L 	 24.63 	 1.91 	 151 
	 Parietal 	 Parietal_Inf_R 	 24.13 	 2.00 	 83 
	 Parietal 	 Precuneus_R 	 23.45 	 2.05 	 166 
	 Parietal 	 Postcentral_L 	 22.42 	 1.94 	 178 
	 Parietal 	 Precuneus_L 	 21.58 	 1.93 	 178 
	 Parietal 	 Postcentral_R 	 21.35 	 1.89 	 177 
	 Occipital 	 Lingual_R 	 19.82 	 1.82 	 109 
	 Frontal 	 Precentral_R 	 18.86 	 1.93 	 132 
	 Temporal 	 Heschl_R 	 18.31 	 1.67 	 13 
	 Central 	 Rolandic_Oper_R 	 17.93 	 1.82 	 52 
	 Occipital 	 Occipital_Inf_R 	 17.25 	 1.77 	 49 
	 Frontal 	 Frontal_Inf_Tri_R 	 16.51 	 2.04 	 72 
	 Frontal 	 Frontal_Inf_Tri_L 	 15.05 	 2.10 	 76 
	 Parietel 	 Parietal_Sup_R 	 14.71 	 1.95 	 60 
	 Parietal 	 SupraMarginal_R 	 12.94 	 1.74 	 62 
	 Occipital 	 Occipital_Inf_L 	 12.13 	 1.76 	 29 
	 Limbic 	 Cingulum_Mid_L 	 11.88 	 1.85 	 62 
	 Parietal 	 SupraMarginal_L 	 11.59 	 1.91 	 35 
	 Limbic 	 Cingulum_Mid_R 	 10.99 	 1.89 	 61 

3	 Parietal 	 Postcentral_L 	 48.24 	 2.40 	 383 
	 Parietal 	 Postcentral_R 	 47.77 	 2.79 	 396 
	 Occipital 	 Cuneus_R 	 34.35 	 2.18 	 135 
	 Occipital 	 Cuneus_L 	 32.21 	 2.07 	 124 
	 Occipital 	 Occipital_Sup_R 	 28.53 	 2.33 	 97 
	 Parietal 	 Parietal_Inf_R 	 26.74 	 1.94 	 92 
	 Occipital 	 Occipital_Inf_R 	 25.70 	 2.19 	 73 
	 Parietal 	 Paracentral_Lobule_L 	 25.40 	 2.24 	 63 
